Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS, 2, 0, 0, 1, 2017, January, Sunday, 06:00 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 04:00 pm, 110, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, January, Monday, 07:55 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 09:40 am, 050, Dry, N, Daylight, Head On, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 10:40 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, January, Sunday, 09:15 pm, 100, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 04:00 pm, 100, Dry, N, Daylight, Head On, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 07:00 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, Y, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 01:00 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Monday, 02:13 pm, 080, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 10:57 am, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 03:25 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, January, Monday, 02:56 pm, 080, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 04:50 pm, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, January, Friday, 04:25 pm, 060, Dry, N, Daylight, Right Angle, Major Injury, N, N
AUS, 2, 0, 1, 0, 2017, January, Monday, 03:50 pm, 110, Dry, N, Daylight, Hit Fixed Object, Major Injury, N, N
AUS, 3, 0, 0, 0, 2017, January, Monday, 04:45 pm, 070, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, January, Monday, 05:15 pm, 050, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 06:20 pm, 080, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, January, Monday, 07:55 pm, 080, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 04:45 am, 070, Dry, N, Night, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 03:50 pm, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 06:30 am, 080, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 5, 0, 0, 1, 2017, January, Tuesday, 08:20 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 07:15 am, 070, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Monday, 01:05 pm, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 12:40 pm, 100, Dry, N, Daylight, Rear End, Not Injured, N, Y
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 11:03 am, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, January, Monday, 04:20 pm, 110, Dry, N, Daylight, Rear End, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 01:00 pm, 080, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 12:30 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 1, 0, 2, 2017, January, Tuesday, 09:25 am, 100, Dry, N, Daylight, Right Angle, Fatal, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 02:45 pm, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 2, 0, 2017, January, Tuesday, 01:35 pm, 080, Dry, N, Daylight, Hit Fixed Object, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 03:30 pm, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 01:15 pm, 080, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 04:25 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 05:10 pm, 060, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, January, Tuesday, 05:25 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Monday, 03:45 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 06:10 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 07:25 pm, 110, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 11:30 pm, 060, Dry, N, Night, Side Swipe, Not Injured, N, N
